INPUT(row),INPUT(row),tabella,vista1 ,vista2,vista3,query,TOT
20,20,"0,565","3,389","1,676","8,795","1,284","15,7"
200,200,"0,173","1,642","2,432","8,81","1,258","14,315"
2000,2000,"0,62","2,454","1,499","9,11","1,241","14,924"
20000,20000,"0,221","2,577","1,477","9,41","1,244","14,929"
200000,200000,"1,054","2,454","2,444","9,966","1,231","17,149"
1000000,1000000,"2,422","4,488","3,432","16,645","1,238","28,225"
2000000,2000000,"4,144","8,154","4,477","19,1","1,233","37,108"
10000000,10000000,"38,169","45,525","13,778","27,857","1,237","126,566"
15000000,15000000,"64,514","56,58","20,067","32,745","1,23","175,136"
20973889,20973889,"102,106","108,583","28,778","43,68","1,218","284,365"
